Target: http://creative.thm/
Total requests: 114442
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00321:  C=301      7 L	      12 W	    178 Ch	  "sales"
00316:  C=301      7 L	      12 W	    178 Ch	  "maps"
00317:  C=301      7 L	      12 W	    178 Ch	  "zimbra"
00318:  C=301      7 L	      12 W	    178 Ch	  "webdisk.forum"
00314:  C=301      7 L	      12 W	    178 Ch	  "status"
00320:  C=301      7 L	      12 W	    178 Ch	  "oa"
00358:  C=301      7 L	      12 W	    178 Ch	  "hr"
00360:  C=301      7 L	      12 W	    178 Ch	  "conference"
00401:  C=301      7 L	      12 W	    178 Ch	  "tech"
00400:  C=301      7 L	      12 W	    178 Ch	  "ns01"
00397:  C=301      7 L	      12 W	    178 Ch	  "pda"
00364:  C=301      7 L	      12 W	    178 Ch	  "vpn1"
00372:  C=301      7 L	      12 W	    178 Ch	  "firewall"
00398:  C=301      7 L	      12 W	    178 Ch	  "images5"
00399:  C=301      7 L	      12 W	    178 Ch	  "c"
00388:  C=301      7 L	      12 W	    178 Ch	  "dc"
00396:  C=301      7 L	      12 W	    178 Ch	  "mail01"
00395:  C=301      7 L	      12 W	    178 Ch	  "mars"
00394:  C=301      7 L	      12 W	    178 Ch	  "www.ads"
00387:  C=301      7 L	      12 W	    178 Ch	  "internal"
00391:  C=301      7 L	      12 W	    178 Ch	  "mdm"
00393:  C=301      7 L	      12 W	    178 Ch	  "images6"
00390:  C=301      7 L	      12 W	    178 Ch	  "zabbix"
00392:  C=301      7 L	      12 W	    178 Ch	  "assets"
00389:  C=301      7 L	      12 W	    178 Ch	  "smtp3"
00383:  C=301      7 L	      12 W	    178 Ch	  "domain"
00384:  C=301      7 L	      12 W	    178 Ch	  "barracuda"
00385:  C=301      7 L	      12 W	    178 Ch	  "link"
00386:  C=301      7 L	      12 W	    178 Ch	  "ns11"
00382:  C=301      7 L	      12 W	    178 Ch	  "site"
00379:  C=301      7 L	      12 W	    178 Ch	  "m2"
00381:  C=301      7 L	      12 W	    178 Ch	  "origin"
00378:  C=301      7 L	      12 W	    178 Ch	  "gis"
00380:  C=301      7 L	      12 W	    178 Ch	  "event"
00376:  C=301      7 L	      12 W	    178 Ch	  "clients"
00375:  C=301      7 L	      12 W	    178 Ch	  "v"
00374:  C=301      7 L	      12 W	    178 Ch	  "rt"
00371:  C=301      7 L	      12 W	    178 Ch	  "payment"
00373:  C=301      7 L	      12 W	    178 Ch	  "intra"
00370:  C=301      7 L	      12 W	    178 Ch	  "ww"
00369:  C=301      7 L	      12 W	    178 Ch	  "webconf"
00377:  C=301      7 L	      12 W	    178 Ch	  "www.store"
00368:  C=301      7 L	      12 W	    178 Ch	  "noc"
00367:  C=301      7 L	      12 W	    178 Ch	  "autoconfig.dev"
00363:  C=301      7 L	      12 W	    178 Ch	  "client"
00361:  C=301      7 L	      12 W	    178 Ch	  "free"
00402:  C=301      7 L	      12 W	    178 Ch	  "ms"
00416:  C=301      7 L	      12 W	    178 Ch	  "www.chat"
00365:  C=301      7 L	      12 W	    178 Ch	  "autodiscover.dev"
00362:  C=301      7 L	      12 W	    178 Ch	  "autoconfig.test"
00408:  C=301      7 L	      12 W	    178 Ch	  "webservices"
00404:  C=301      7 L	      12 W	    178 Ch	  "autoconfig.forum"
00359:  C=301      7 L	      12 W	    178 Ch	  "autodiscover.test"
00366:  C=301      7 L	      12 W	    178 Ch	  "b2b"
00432:  C=301      7 L	      12 W	    178 Ch	  "php"
00445:  C=301      7 L	      12 W	    178 Ch	  "shopping"
00444:  C=301      7 L	      12 W	    178 Ch	  "test3"
00443:  C=301      7 L	      12 W	    178 Ch	  "mailhost"
00438:  C=301      7 L	      12 W	    178 Ch	  "cisco"
00440:  C=301      7 L	      12 W	    178 Ch	  "mercury"
00442:  C=301      7 L	      12 W	    178 Ch	  "directory"
